Salary,JobInsecurity,JobSatisfaction,Tenure,EmotionalExhaustion,Domain,OrgLevel,Demographics,SupervisorSatisfaction,CareerAdvancement,WorkLifeBalance,OrgAlignment,LaborMarketCondition,Salary_JS,JS_SupS,Tenure_CA,Exhaustion_WLB,CA_Align,Domain_LMC,leave
64554.76,0.4,3,1.75,0.33,IT,Senior,Young/Single,5,1,3,3,1,193664.28,15,1.75,1,3,IT_1,1
59070.99,0.51,3,7.61,0.44,IT,Mid,Young/Single,4,1,3,2,0,177212.96,12,7.61,1.33,2,IT_0,1
39588.08,0.49,4,1.26,0.28,Marketing,Executive,Older,4,1,3,2,0,158352.31,16,1.26,0.84,2,Marketing_0,1
58858.9,0.45,3,5,0.05,Accounting,Entry,Young/Single,5,1,1,3,1,176576.71,15,5,0.05,3,Accounting_1,1
35609.29,0.62,3,7.2,0.56,Finance,Senior,Young/Single,5,1,2,3,0,106827.87,15,7.2,1.13,3,Finance_0,1
57541.11,0.25,4,2.56,0.15,Accounting,Entry,Young/Single,3,1,2,1,1,230164.45,12,2.56,0.29,1,Accounting_1,1
75235.78,0.68,4,1.44,0.34,Marketing,Entry,Mid-Age,4,1,2,2,1,300943.13,16,1.44,0.67,2,Marketing_1,1
58924.36,0.65,5,8.44,0.12,Product Design,Entry,Young/Single,4,1,1,2,0,294621.81,20,8.44,0.12,2,Product Design_0,1
48282.49,0.42,1,4.14,0.15,Product Design,Entry,Older,3,1,2,2,1,48282.49,3,4.14,0.3,2,Product Design_1,1
39931.88,0.32,4,1.65,0.23,IT,Entry,Young/Single,3,0,3,2,1,159727.52,12,0,0.69,0,IT_1,1
44146.11,0.37,1,4.98,0.18,HR,Entry,Mid-Age,4,1,2,2,0,44146.11,4,4.98,0.37,2,HR_0,1
95669.93,0.57,2,2.3,0.47,HR,Mid,Young/Single,2,1,1,2,0,191339.86,4,2.3,0.47,2,HR_0,1
44221.25,0.43,4,4.52,0.18,IT,Senior,Mid-Age,2,1,2,3,0,176885.01,8,4.52,0.35,3,IT_0,1
58129.13,0.6,1,3.85,0.35,IT,Mid,Mid-Age,2,1,3,2,1,58129.13,2,3.85,1.06,2,IT_1,1
43836.64,0.24,4,2.59,0.01,Accounting,Entry,Older,1,0,3,2,1,175346.57,4,0,0.04,0,Accounting_1,1
79333.41,0.8,3,7.67,0.31,Marketing,Senior,Older,3,1,3,3,1,238000.22,9,7.67,0.93,3,Marketing_1,1
48760.77,0.57,2,10.55,0.26,Product Design,Executive,Young/Single,3,0,1,2,1,97521.54,6,0,0.26,0,Product Design_1,1
33699.47,0.48,1,3.57,0.37,HR,Mid,Young/Single,5,1,2,2,1,33699.47,5,3.57,0.73,2,HR_1,1
79267.25,0.57,2,2.87,0.3,Marketing,Senior,Young/Married,5,1,2,3,1,158534.5,10,2.87,0.61,3,Marketing_1,1
72433.24,0.43,4,5.35,0.33,Marketing,Senior,Mid-Age,5,1,2,3,1,289732.96,20,5.35,0.67,3,Marketing_1,1
54387.98,0.43,5,5.03,0.24,Accounting,Mid,Young/Married,4,0,2,3,1,271939.89,20,0,0.48,0,Accounting_1,1
49926.92,0.49,4,0.48,0.07,Product Design,Mid,Mid-Age,3,1,2,2,1,199707.67,12,0.48,0.14,2,Product Design_1,1
40976.23,0.44,3,4.71,0.1,IT,Senior,Mid-Age,3,1,1,2,0,122928.7,9,4.71,0.1,2,IT_0,1
81326.38,0.52,2,0.42,0.37,HR,Senior,Mid-Age,3,1,2,2,0,162652.76,6,0.42,0.73,2,HR_0,1
68968.81,0.51,4,7.1,0.16,Marketing,Mid,Older,4,1,2,1,0,275875.23,16,7.1,0.31,1,Marketing_0,1
61327.16,0.26,3,6.38,0.31,Product Design,Senior,Mid-Age,2,1,2,3,0,183981.49,6,6.38,0.62,3,Product Design_0,1
51773.43,0.54,4,4.57,0.2,IT,Executive,Mid-Age,4,1,3,1,1,207093.7,16,4.57,0.61,1,IT_1,1
57245.91,0.44,2,7.21,0.43,HR,Mid,Young/Married,4,1,1,3,0,114491.82,8,7.21,0.43,3,HR_0,1
54038.97,0.35,4,0.58,0.18,Accounting,Entry,Young/Married,5,0,1,3,1,216155.86,20,0,0.18,0,Accounting_1,1
41842.08,0.28,5,5.46,0.35,HR,Senior,Mid-Age,5,1,3,3,1,209210.42,25,5.46,1.04,3,HR_1,1
55980.45,0.26,2,7.61,0.19,Accounting,Mid,Mid-Age,5,1,2,1,1,111960.89,10,7.61,0.37,1,Accounting_1,1
82703.28,0.38,1,5.31,0.3,IT,Entry,Young/Single,1,1,2,2,1,82703.28,1,5.31,0.59,2,IT_1,1
73151.91,0.32,2,4.15,0.69,Marketing,Senior,Mid-Age,1,1,1,1,0,146303.82,2,4.15,0.69,1,Marketing_0,1
83920.66,0.6,4,5.63,0.32,Accounting,Entry,Young/Married,2,1,3,3,0,335682.65,8,5.63,0.96,3,Accounting_0,1
71850.69,0.22,3,3.13,0.12,IT,Mid,Young/Married,5,1,3,3,1,215552.08,15,3.13,0.36,3,IT_1,1
95185.21,0.41,1,0.97,0.08,Marketing,Senior,Mid-Age,5,1,2,3,0,95185.21,5,0.97,0.16,3,Marketing_0,1
65116.85,0.3,3,3.23,0.19,Finance,Mid,Young/Single,5,1,1,3,0,195350.54,15,3.23,0.19,3,Finance_0,1
106104.14,0.39,2,9.23,0.07,Product Design,Entry,Mid-Age,5,1,3,1,0,212208.28,10,9.23,0.22,1,Product Design_0,1
58140.77,0.57,3,1.87,0.34,Product Design,Mid,Mid-Age,3,1,3,2,1,174422.32,9,1.87,1.03,2,Product Design_1,1
58173.02,0.55,3,3.35,0.09,Product Design,Entry,Young/Single,3,1,3,3,0,174519.05,9,3.35,0.26,3,Product Design_0,1
46091.62,0.45,2,4.25,0.12,Product Design,Mid,Mid-Age,3,1,1,3,0,92183.23,6,4.25,0.12,3,Product Design_0,1
35874.45,0.62,3,6.37,0.09,IT,Senior,Young/Single,4,0,1,1,1,107623.36,12,0,0.09,0,IT_1,1
62768.4,0.56,4,2.83,0.18,IT,Senior,Young/Married,4,1,2,3,1,251073.61,16,2.83,0.36,3,IT_1,1
55809.4,0.85,3,10.28,0.14,Marketing,Senior,Young/Married,3,1,2,2,0,167428.2,9,10.28,0.28,2,Marketing_0,1
35676.73,0.65,5,5.47,0.24,IT,Entry,Young/Single,3,0,2,3,0,178383.67,15,0,0.48,0,IT_0,1
77382.67,0.34,1,2.73,0.23,IT,Senior,Young/Single,4,1,1,3,1,77382.67,4,2.73,0.23,3,IT_1,1
82212.46,0.43,4,5.13,0.45,Product Design,Entry,Young/Single,4,1,3,2,1,328849.83,16,5.13,1.36,2,Product Design_1,1
80976.96,0.29,1,7.41,0.33,IT,Executive,Older,4,1,3,3,0,80976.96,4,7.41,0.99,3,IT_0,1
63382.75,0.29,4,5.42,0.08,HR,Mid,Young/Married,5,1,3,3,1,253530.99,20,5.42,0.25,3,HR_1,1
80499.75,0.52,2,3.12,0.28,HR,Entry,Mid-Age,2,1,2,1,1,160999.5,4,3.12,0.56,1,HR_1,1
117596.44,0.79,3,1.95,0.09,Product Design,Senior,Young/Married,2,1,1,1,0,352789.32,6,1.95,0.09,1,Product Design_0,1
85661.67,0.27,4,4.37,0.22,IT,Mid,Mid-Age,5,1,2,2,0,342646.67,20,4.37,0.43,2,IT_0,1
49088.69,0.72,3,2.21,0.43,IT,Senior,Mid-Age,4,1,1,2,1,147266.07,12,2.21,0.43,2,IT_1,1
78328.59,0.62,2,2.1,0.3,Product Design,Mid,Mid-Age,4,1,1,1,1,156657.19,8,2.1,0.3,1,Product Design_1,1
34823.35,0.36,1,2.37,0.07,Finance,Senior,Older,5,1,2,3,1,34823.35,5,2.37,0.13,3,Finance_1,1
44081.95,0.61,3,3.35,0.25,IT,Entry,Young/Single,3,1,3,2,0,132245.85,9,3.35,0.74,2,IT_0,1
70409.35,0.59,4,3.85,0.61,Finance,Senior,Older,2,1,1,3,1,281637.4,8,3.85,0.61,3,Finance_1,1
78091.25,0.51,3,2.96,0.24,Product Design,Entry,Mid-Age,4,1,3,3,1,234273.74,12,2.96,0.71,3,Product Design_1,1
92296.2,0.51,4,3.43,0.25,Marketing,Senior,Young/Single,2,1,2,2,1,369184.78,8,3.43,0.49,2,Marketing_1,1
72079.88,0.61,5,5.13,0.27,Accounting,Mid,Older,5,0,2,3,0,360399.39,25,0,0.54,0,Accounting_0,1
37975.99,0.25,5,7.62,0.37,Accounting,Senior,Young/Single,5,1,2,1,0,189879.97,25,7.62,0.75,1,Accounting_0,1
43428.13,0.53,2,1.73,0.23,Accounting,Mid,Older,3,1,2,1,1,86856.25,6,1.73,0.46,1,Accounting_1,1
72450.83,0.79,4,1.46,0.31,Finance,Entry,Older,3,1,2,3,1,289803.31,12,1.46,0.61,3,Finance_1,1
68101.42,0.57,3,2.21,0.26,HR,Mid,Mid-Age,4,1,2,2,1,204304.27,12,2.21,0.52,2,HR_1,1
77096.44,0.47,2,4.01,0.19,Accounting,Mid,Young/Single,3,1,3,1,0,154192.88,6,4.01,0.56,1,Accounting_0,1
55023.46,0.47,4,2.42,0.58,Accounting,Entry,Mid-Age,3,1,1,2,1,220093.86,12,2.42,0.58,2,Accounting_1,1
67919.31,0.44,4,2.9,0.24,Product Design,Senior,Young/Single,4,1,3,2,0,271677.22,16,2.9,0.71,2,Product Design_0,1
73291.66,0.51,2,3.16,0.26,IT,Senior,Older,3,1,2,3,0,146583.32,6,3.16,0.51,3,IT_0,1
81155.6,0.4,3,3.05,0.16,IT,Executive,Young/Single,5,0,1,2,1,243466.81,15,0,0.16,0,IT_1,1
65107.31,0.46,2,3.23,0.11,Marketing,Senior,Mid-Age,4,1,3,2,0,130214.62,8,3.23,0.34,2,Marketing_0,1
65818.9,0.47,1,8.06,0.17,HR,Mid,Mid-Age,1,1,1,3,1,65818.9,1,8.06,0.17,3,HR_1,1
68552.9,0.38,5,2.43,0.23,Accounting,Mid,Older,1,1,2,3,1,342764.5,5,2.43,0.47,3,Accounting_1,1
86859.46,0.73,3,4.56,0.23,IT,Mid,Mid-Age,4,1,3,3,1,260578.37,12,4.56,0.7,3,IT_1,1
90398.37,0.49,3,2.1,0.46,IT,Senior,Older,2,1,1,3,0,271195.12,6,2.1,0.46,3,IT_0,1
65033.2,0.71,4,5.89,0.41,IT,Executive,Mid-Age,4,0,1,3,1,260132.79,16,0,0.41,0,IT_1,1
60978.64,0.73,1,3.81,0.1,IT,Entry,Mid-Age,4,1,2,3,0,60978.64,4,3.81,0.21,3,IT_0,1
56453.56,0.77,4,2.49,0.32,Marketing,Senior,Mid-Age,3,1,2,2,1,225814.23,12,2.49,0.64,2,Marketing_1,1
25469.25,0.3,3,3.38,0.29,Accounting,Mid,Mid-Age,3,0,3,3,1,76407.75,9,0,0.87,0,Accounting_1,1
48460.28,0.29,3,2.02,0.15,Accounting,Mid,Older,4,1,2,3,1,145380.84,12,2.02,0.31,3,Accounting_1,1
